,event__place__name,event__place__id,lat,lon
0,Студклуб СПбГТУ,499,59.98722600,30.34731800
1,Ресторан НАBEERЕЖНАЯ,523,59.97824600,30.31546400
2,Европейский университет,31,59.94776200,30.34231500
3,Студия Popcorn,469,59.90956700,30.28422000
4,ДК Крупской,278,59.89522200,30.43406800
5,Музей П.П.Чистякова,432,59.71310200,30.42622600
6,Буквоед,19,59.92318000,30.33449900
7,Хостел In Touch,557,59.92881600,30.32117700
8,Всё просто,816,59.91908500,30.35261800
9,Музей Достоевского,25,59.92730100,30.35093800
10,Библиотека Есенина,179,59.91076200,30.34722800
11,Библиотека Лермонтова,56,59.94362900,30.34804600
12,Циник,406,59.93093500,30.31098100
13,Apotheke Bar,291,59.93231500,30.32677400
14,Проект при магазине Академический проект,428,59.92935700,30.34460500
15,Эрмитаж,359,59.94207400,30.31583200
16,Большая хоральная синагога,47,59.92472700,30.29174800
17,Камертон,650,59.92800900,30.32647700
18,паръ.spb,414,59.95348400,30.31999100
19,Филологический факультет СПбГУ,191,59.94074000,30.30024600
20,Музей-библиотека Книги блокадного города,695,59.86308900,30.33485000
21,Платформа,124,59.93888300,30.36139500
22,Freedom,318,59.91627500,30.30907700
23,Смольный Собор,647,59.94884800,30.39555800
24,Музей кофе,447,59.94945600,30.36254500
25,Книжный дом Глагол,654,59.92369800,30.38418500
26,Юношеская библиотека им. А.П. Гайдара,832,59.95539400,30.29482100
27,Библиотека Блока,125,59.93630900,30.32122200
28,Смольный институт свободных искусств и наук,27,59.93035400,30.28510100
29,ПОЭТому,76,59.72246300,30.41694700
30,Кинотеатр Аврора,527,59.93406000,30.33917000
31,Юсупов Palace,201,59.93830600,30.34883600
32,street,53,59.70197300,30.45331900
33,Кинотеатр Авангард,147,59.71806700,30.41204200
34,Инк-клуб,423,59.94748700,30.27057500
35,Причал на Фонтанке 53,635,59.92145700,30.31590400
36,Санкт-Петербургский союз художников,285,59.93307200,30.31132300
37,ГОСТИ,837,59.92289600,30.31916500
38,Летний сад,323,59.94490500,30.33555000
39,Фаренгейт 451,52,59.94004600,30.35568100
40,Пыль,799,59.93984800,30.32366500
41,Малый драматический театр,552,59.93032700,30.34513500
42,Музей богемной жизни,829,59.93342900,30.32186900
43,Ионотека,6,59.92295000,30.36091900
44,Бутерброд,115,59.92855000,30.32541700
45,Галерея С.П.А.С.,422,59.93132800,30.30599600
46,street,53,59.93849100,30.35493600
47,ПОЭТому,76,59.93906800,30.32736700
48,Буквоед,19,59.98647500,30.29764100
49,Матмех СПбГУ,274,59.93859000,30.27083600
50,Новая сцена Александринского театра,45,59.93041200,30.33757100
51,Книжный магазин Раскольниковъ,797,59.92800900,30.32647700
52,ОхтаLab,9,59.94013200,30.41806000
53,"Кинжный магазин ""Мир Печати""",862,59.92988500,30.32469000
54,Несуществующий этаж,551,60.01224600,30.26458300
