,name,event__place__name,event__place__id,lat,lon,event_count
0,"Пушкинской ул., д. 10",Петербургский архив и библиотека независимого искусства,834,59.92951500,30.35755900,1
1,"Московский пр., д. 150",Библиотека у Московских ворот,593,59.88508300,30.32054800,19
2,"Литейный пр., д. 52",Железный лев,679,59.93645300,30.34863000,7
3,"Лиговский пр., д. 53",Галерея АРТ-бюро,413,59.92913600,30.35933800,1
4,"Шаумяна, д. 22",КДЦ Красногвардейский,618,59.93164800,30.41729700,4
5,"Биржевая линия В. О., д. 12",Кулуар Реставрация нравов,131,59.94364300,30.29601500,18
6,"Большой пр. П. С., д. 18",Юношеская библиотека им. А.П. Гайдара,832,59.95539400,30.29482100,1
7,"Биржевой переулок, д. 2-4",The LOFT,792,59.94501700,30.29356300,1
8,"Пушкинская, д. 9","ОКЦ на Пушкинской, 9",20,59.92963700,30.35673200,19
9,"Мойка, д. 28",Все свободны,36,59.93880200,30.31997300,90
10,"Пионерская ул., д. 34",Свой круг,57,59.96111600,30.27986400,2
11,"Казанская ул., д. 7",Место встречи,80,59.93237800,30.32104200,2
12,"Профессора Качалова, д. 8",Творческое пространство Кипарис,630,59.91471000,30.39904300,1
13,"Литейный пр., д. 53",Музей Ахматовой,8,59.93633200,30.34770400,1200
14,"Достоевского, д. 19/21Б",Универсальный лекторий Александрийская библиотека,133,59.92355900,30.34659000,2
15,"Фучика, д. 15",Гуманитарный Университет профсоюзов,521,59.87934400,30.37746600,1
16,"Невский пр., д. 151",Ресторан Премьера,62,59.92549800,30.37931600,2
17,"Невский пр., 179/2",Новый выставочный зал музея городской скульптуры,373,59.92281000,30.38475100,1
18,"Александра Блока, д. 5",Балтийский стрелковый центр,355,59.92458200,30.27867800,5
19,"Итальянская ул., д. 17",Школа Masters,232,59.93613300,30.33429300,2
20,"Фонтанка, д. 34",Шереметевский дворец,561,59.93644900,30.34545900,2
21,"Каменноостровский пр., д. 55",Театр Особняк,401,59.97167200,30.30679500,3
22,"Гражданский пр., д. 41",Буквоед,19,60.01153600,30.39781200,2
23,Елагин остров,ЦПКиО,634,59.97927200,30.26248100,11
24,"Большая Пушкарская ул., д. 10",Легко-легко,592,59.95511500,30.29730000,2
25,"Большая Конюшенная ул., д. 27",Театр Эстрады,383,59.93699900,30.32236300,3
26,"Карповка, д. 28",Библиотека Лавренева,123,59.96982100,30.30804400,59
27,"3-я линия В. О., д. 20",Музей-квартира Л.Н. Бенуа,321,59.94281800,30.28518200,1
28,"Большой проспект П. С., д. 73",Библиотека им. Пушкина Петроградского района,4,59.96520500,30.31153800,43
29,"Разъезжая ул., д. 12",А2,684,59.92497500,30.34586300,3
30,"Фонтанка, д. 130",Африка,279,59.91793500,30.30422600,7
31,"Лиговский пр., 74",Зона действия,846,59.92202100,30.35552000,2
32,"Лиговский пр., д. 53",Амплитуда,1,59.92913600,30.35933800,18
33,"Константина Заслонова, д. 25",Бар Konzas Street,494,59.91798000,30.34452400,4
34,"Итальянская ул., д. 2",Городское кафе ЗиС,187,59.93721500,30.32802200,5
35,"Невский пр., д. 22-24",Русско-немецкий центр встреч,84,59.93594400,30.32409700,12
36,"Кузнечный пер., д. 5/2",Музей Достоевского,25,59.92730100,30.35093800,120
37,"Малоохтинский пр., д. 92",Молодежный клуб Современник,82,59.92327000,30.40534900,5
38,"Никольская пл., д. 2",Библиотека Старая Коломна,167,59.92311200,30.30233900,14
39,"Литейный пр., д. 42",Юсупов Palace,201,59.93830600,30.34883600,2
40,"Моховая ул., д. 37",PinUp,729,59.94026200,30.34483900,2
41,"Клинский пр., д. 17",Библиотека Бронницкая,112,59.91511600,30.32279400,22
42,"Невский пр., д. 22-24",Quo Vadis!?,417,59.93594400,30.32409700,11
43,"Некрасова, д. 40",Платформа,124,59.93888300,30.36139500,131
44,"8-я линия В. О., д. 79",Инк-клуб,423,59.94748700,30.27057500,2
45,"Циолковского, д. 13-15",Trashroom,822,59.90957600,30.28717600,1
46,"Лиговский пр., д. 53",Буржуазия,507,59.92913600,30.35933800,1
47,"Лиговский пр., д. 53",Музей нонконформистского искусства,182,59.92913600,30.35933800,28
48,"Черняховского ул., д. 55",Пена дней,320,59.92030700,30.35929300,1
49,"Садовая ул., 25","Кинжный магазин ""Мир Печати""",862,59.92988500,30.32469000,1
50,"Лёни Голикова, д. 31",Центральная районная библиотека Кировского района,461,59.84190700,30.22969300,1
51,"Маяковского ул., д. 27","ЦГДБ им. Пушкина, филиал № 1",153,59.94029400,30.35569000,1
52,"Сестрорецк, Токарева, д. 7",Библиотека Зощенко,224,60.08815300,29.95595800,11
53,"Тамбовская ул., д. 28",Котельная,288,59.91185000,30.35499900,2
54,метро Приморская,Мастерская Анастасии Нелюбиной,408,59.94845600,30.23463300,1
55,"Троицкая пл., д. 1",Троицкая библиотека,229,59.95292100,30.32784300,6
56,"Фонтанка, д. 34",street,53,59.93644900,30.34545900,1
57,"Графский переулок, д. 8",Школа № 216 им. Адама Мицкевича,457,59.93061100,30.34610500,1
58,"Казанская, д. 7",Квартал,386,59.93237800,30.32104200,6
59,"Фонтанка, д. 114",Молодежный театр на Фонтанке,342,59.91906700,30.31338000,4
60,"Лиговский пр., д. 53",Navicula Artis,382,59.92913600,30.35933800,22
