name,lat,lon,year,event_count
"103-я Советская ул., д. 8A",59.93909500,30.31586800,2007.0,1
"103-я Советская ул., д. 8A",59.93909500,30.31586800,2017.0,1
"103-я Советская ул., д. 8A",59.93909500,30.31586800,2018.0,2
"103-я Советская ул., д. 8A",59.93909500,30.31586800,2019.0,1
"10-я линия В. О., д. 3/30",59.93661100,30.27989100,2011.0,2
"10-я линия В. О., д. 3/30",59.93661100,30.27989100,2012.0,1
"12-я линия В. О., д. 13",59.93848200,30.27426700,2003.0,1
"13 линия В. О., д. 22В",59.93858100,30.27242600,2013.0,2
"13-я линия В. О., д. 70-72",59.94587800,30.26474500,2014.0,1
"13-я линия В. О., д. 70-72",59.94587800,30.26474500,2018.0,1
"13-я линия В. О., д. 70-72",59.94587800,30.26474500,2019.0,2
"13-я линия В. О., д. 72",59.94636900,30.26412500,2015.0,1
"14-я линия В. О., д. 29б",59.93859000,30.27083600,2018.0,1
"15-я линия В. О., д. 34",59.93957700,30.26876000,2018.0,1
"15-я линия В. О., д. 34",59.93957700,30.26876000,2019.0,1
"17-я линия В. О., д. 14А",59.93617400,30.26924600,2003.0,1
"17-я линия В. О., д. 14А",59.93617400,30.26924600,2012.0,1
"17-я линия В. О., д. 52",59.94341300,30.26028000,2016.0,5
"18-я линия В. О., д. 1",59.93168800,30.27198500,2009.0,1
"1-я Красноармейская ул., д. 15",59.91627500,30.30907700,2009.0,2
"1-я Красноармейская ул., д. 15",59.91627500,30.30907700,2010.0,1
"1-я Красноармейская ул., д. 15",59.91627500,30.30907700,2014.0,1
"1-я линия В. О., д. 10",59.94010000,30.29173900,2015.0,1
"1-я линия В. О., д. 26",59.94271000,30.28868500,2013.0,1
1-я линия В. О. д. 30,59.94321400,30.28812800,2002.0,1
"1-я линия В. О., д. 42",59.94472000,30.28634000,2013.0,16
"1-я линия В. О., д. 52",59.94654000,30.28433700,2003.0,1
"1-я линия В. О., д. 52",59.94654000,30.28433700,2007.0,1
"1-я линия В. О., д. 52",59.94654000,30.28433700,2012.0,1
"1-я линия В. О., д. 52",59.94654000,30.28433700,2015.0,1
"1-я линия В. О., д. 52",59.94654000,30.28433700,2017.0,1
"1-я линия В. О., д. 52",59.94654000,30.28433700,2018.0,2
"29-я линия В. О., д. 2",59.93189600,30.25162100,2010.0,7
"29-я линия В. О., д. 2",59.93189600,30.25162100,2011.0,15
"29-я линия В. О., д. 2",59.93189600,30.25162100,2012.0,20
"29-я линия В. О., д. 2",59.93189600,30.25162100,2013.0,26
"29-я линия В. О., д. 2",59.93189600,30.25162100,2014.0,14
"29-я линия В. О., д. 2",59.93189600,30.25162100,2015.0,10
"29-я линия В. О., д. 2",59.93189600,30.25162100,2016.0,10
"29-я линия В. О., д. 2",59.93189600,30.25162100,2017.0,14
"29-я линия В. О., д. 2",59.93189600,30.25162100,2018.0,10
"2-я линия В. О., д. 17",59.94169600,30.28745400,2019.0,1
"2-я Советская ул., д. 27/2",59.93021900,30.37224600,2009.0,4
"2-я Советская ул., д. 27/2",59.93021900,30.37224600,2010.0,3
"2-я Советская ул., д. 27/2",59.93021900,30.37224600,2011.0,4
"2-я Советская ул., д. 27/2",59.93021900,30.37224600,2012.0,2
"2-я Советская ул., д. 27/2",59.93021900,30.37224600,2013.0,6
"2-я Советская ул., д. 27/2",59.93021900,30.37224600,2014.0,8
"2-я Советская ул., д. 27/2",59.93021900,30.37224600,2015.0,11
"2-я Советская ул., д. 27/2",59.93021900,30.37224600,2016.0,5
"2-я Советская ул., д. 27/2",59.93021900,30.37224600,2017.0,6
"2-я Советская ул., д. 27/2",59.93021900,30.37224600,2018.0,2
"2-я Советская ул., д. 27/2",59.93021900,30.37224600,2019.0,12
"2-я Советская ул., д. 8",59.93202200,30.36831200,2016.0,1
"3-я линия В. О., д. 20",59.94281800,30.28518200,2019.0,1
"3-я линия В. О., д. 48",59.94638300,30.28120200,2011.0,1
"3-я Советская ул., д. 21",59.93031300,30.37489600,2012.0,1
"3-я Советская ул., д. 2/3",59.93399200,30.36541000,2008.0,1
"3-я Советская ул., д. 2/3",59.93399200,30.36541000,2009.0,1
"3-я Советская ул., д. 2/3",59.93399200,30.36541000,2010.0,2
"3-я Советская ул., д. 2/3",59.93399200,30.36541000,2011.0,3
"3-я Советская ул., д. 2/3",59.93399200,30.36541000,2012.0,1
"3-я Советская ул., д. 2/3",59.93399200,30.36541000,2016.0,1
"3-я Советская ул., д. 2/3",59.93399200,30.36541000,2017.0,2
"3-я Советская ул., д. 7",59.93218000,30.36947100,2009.0,2
"3-я Советская ул., д. 7",59.93218000,30.36947100,2010.0,6
"3-я Советская ул., д. 8А",59.93354100,30.36675800,2019.0,1
"4-я Красноармейская ул., д. 12",59.91367200,30.31347900,2019.0,1
"4-я Красноармейская ул., д. 1/33",59.91398800,30.31679300,2010.0,1
"4-я Красноармейская ул., д. 1/33",59.91398800,30.31679300,2012.0,2
"4-я линия В. О., д. 19",59.94241700,30.28322300,2017.0,1
"5-я Советская ул., д. 12",59.93524500,30.36861700,2014.0,6
"5-я Советская ул., д. 12",59.93524500,30.36861700,2017.0,2
"5-я Советская ул., д. 12",59.93524500,30.36861700,2018.0,3
"5-я Советская ул., д. 12",59.93524500,30.36861700,2019.0,1
"5-я Советская ул., д. 45",59.93259900,30.37494100,2010.0,2
"6-я линия В. О., д. 17",59.94109200,30.28140900,2001.0,1
"6-я линия В. О., д. 17",59.94109200,30.28140900,2002.0,3
"6-я линия В. О., д. 17",59.94109200,30.28140900,2003.0,39
"6-я линия В. О., д. 17",59.94109200,30.28140900,2004.0,34
"6-я линия В. О., д. 17",59.94109200,30.28140900,2005.0,15
"6-я линия В. О., д. 17",59.94109200,30.28140900,2006.0,7
"6-я линия В. О., д. 17",59.94109200,30.28140900,2009.0,1
"6-я линия В. О., д. 17",59.94109200,30.28140900,2010.0,4
"6-я линия В. О., д. 17",59.94109200,30.28140900,2011.0,1
"6-я линия В. О., д. 17",59.94109200,30.28140900,2012.0,4
"6-я линия В. О., д. 17",59.94109200,30.28140900,2013.0,2
"6-я линия В. О., д. 17",59.94109200,30.28140900,2014.0,3
"6-я линия В. О., д. 17",59.94109200,30.28140900,2015.0,5
"6-я линия В. О., д. 17",59.94109200,30.28140900,2016.0,5
"6-я линия В. О., д. 17",59.94109200,30.28140900,2017.0,4
"6-я линия В. О., д. 17",59.94109200,30.28140900,2018.0,3
"6-я линия В. О., д. 17",59.94109200,30.28140900,2019.0,1
"6-я линия В. О., д. 29",59.94284500,30.27938800,2010.0,1
"6-я линия В. О., д. 29",59.94284500,30.27938800,2011.0,1
"6-я линия В. О., д. 29",59.94284500,30.27938800,2012.0,2
"6-я линия В. О., д. 29",59.94284500,30.27938800,2014.0,1
"6-я линия В. О., д. 29",59.94284500,30.27938800,2015.0,2
"6-я линия В. О., д. 29",59.94284500,30.27938800,2016.0,5
"6-я линия В. О., д. 29",59.94284500,30.27938800,2018.0,2
"6-я линия В. О., д. 39",59.94516100,30.27658500,2019.0,1
"6-я линия В. О., д. 5",59.93737800,30.28571200,2012.0,1
"6-я Советская ул., д. 25",59.93431200,30.37344100,2005.0,2
"7-ая Красноармейская ул., д. 30",59.91144400,30.30881600,2012.0,1
"7-ая Красноармейская ул., д. 30",59.91144400,30.30881600,2013.0,8
"7-ая Красноармейская ул., д. 30",59.91144400,30.30881600,2014.0,3
"7-ая Красноармейская ул., д. 30",59.91144400,30.30881600,2015.0,8
"7-ая Красноармейская ул., д. 30",59.91144400,30.30881600,2016.0,2
"7-ая Красноармейская ул., д. 30",59.91144400,30.30881600,2017.0,1
"7-ая Красноармейская ул., д. 30",59.91144400,30.30881600,2018.0,2
