,date
0,1999-12-10 18:00:00
1,1999-12-10 18:00:00
2,1999-12-10 19:00:00
3,1999-12-11 17:00:00
4,1999-12-12 16:00:00
5,1999-12-12 18:00:00
6,1999-12-13 17:00:00
7,1999-12-14 18:00:00
8,1999-12-16 18:00:00
9,1999-12-16 18:00:00
10,1999-12-16 18:00:00
11,1999-12-16 18:00:00
12,1999-12-17 20:00:00
13,1999-12-18 16:00:00
14,1999-12-20 19:00:00
15,1999-12-23 18:00:00
16,1999-12-24 11:00:00
17,1999-12-24 17:00:00
18,1999-12-24 18:00:00
19,1999-12-25 11:00:00
20,1999-12-25 17:00:00
21,1999-12-29 18:00:00
22,2000-01-07 18:00:00
23,2000-01-10 19:00:00
24,2000-01-13 18:00:00
25,2000-01-14 16:00:00
26,2000-01-15 19:00:00
27,2000-01-20 18:00:00
28,2000-01-21 18:00:00
29,2000-01-22 15:00:00
30,2000-01-24 19:00:00
31,2000-01-27 18:00:00
32,2000-01-28 16:00:00
33,2000-01-28 18:00:00
34,2000-01-29 15:00:00
35,2000-01-31 19:00:00
36,2000-02-01 18:00:00
37,2000-02-02 19:00:00
38,2000-02-03 18:00:00
39,2000-02-03 18:00:00
40,2000-02-04 18:00:00
41,2000-02-07 18:00:00
42,2000-02-07 18:00:00
43,2000-02-07 19:00:00
44,2000-02-08 18:00:00
45,2000-02-08 18:30:00
46,2000-02-09 18:00:00
47,2000-02-09 18:00:00
48,2000-02-10 11:00:00
49,2000-02-10 15:00:00
50,2000-02-10 18:00:00
51,2000-02-11 11:00:00
52,2000-02-11 15:00:00
53,2000-02-11 18:00:00
54,2000-02-11 19:00:00
55,2000-02-12 11:00:00
56,2000-02-12 15:00:00
57,2000-02-15 19:00:00
58,2000-02-16 18:00:00
59,2000-02-16 18:00:00
60,2000-02-17 18:00:00
61,2000-02-18 16:00:00
62,2000-02-18 19:00:00
63,2000-02-22 19:00:00
64,2000-02-22 19:00:00
65,2000-02-24 18:00:00
66,2000-02-24 18:00:00
67,2000-02-25 19:00:00
68,2000-02-25 19:00:00
69,2000-02-26 19:00:00
70,2000-02-27 18:00:00
71,2000-02-29 19:00:00
72,2000-02-29 19:00:00
73,2000-03-02 17:00:00
74,2000-03-02 18:00:00
75,2000-03-02 18:00:00
76,2000-03-03 18:00:00
77,2000-03-03 19:00:00
78,2000-03-07 19:00:00
