,place_name,participant_count
0,Дом журналиста,1
1,Музей Ахматовой,1
2,Музей Ахматовой,6
3,Дом журналиста,8
4,Музей Пушкина,8
5,Театр Эстрады,0
6,Дом журналиста,14
7,Музей Ахматовой,11
8,Лицей,2
9,Российская национальная библиотека,2
10,Лицей,3
11,Центральный лекторий,1
12,Музей Ахматовой,4
13,Музей Ахматовой,1
14,Шалтай-Болтай,6
15,Лицей,2
16,Музей политической истории России,18
17,"Выставочный зал Николаевская, 16",12
18,Музей печати,1
19,Музей политической истории России,14
20,Дом актера,7
21,Борей-Арт,1
22,Амплитуда,1
23,Шалтай-Болтай,2
24,Музей Набокова,6
25,Михайловский манеж,0
26,Navicula Artis,2
27,Лицей,3
28,Амплитуда,10
29,Михайловский манеж,0
30,Шалтай-Болтай,3
31,Лицей,3
32,Дом журналиста,1
33,Музей Ахматовой,1
34,Театр на Литейном,2
35,Шалтай-Болтай,1
36,Музей Ахматовой,1
37,Театр Эстрады,1
38,Лицей,2
39,Центральный лекторий,1
40,Музей Ахматовой,3
41,Редакция журнала Звезда,6
42,Дом ученых,2
43,Шалтай-Болтай,1
44,Дом журналиста,3
45,Музей Ахматовой,6
46,Музей Ахматовой,4
47,Музей Пушкина,1
48,Музей Ахматовой,6
49,Музей Ахматовой,7
50,Лицей,4
51,Музей Ахматовой,12
52,Музей Ахматовой,8
53,Музей Ахматовой,1
54,Амплитуда,1
55,Музей Ахматовой,6
56,Музей Ахматовой,2
57,Клим Ворошилов,0
58,Музей Ахматовой,1
59,Дом ученых,7
60,Лицей,2
61,Музей Ахматовой,2
62,Музей Ахматовой,14
63,Клим Ворошилов,2
64,Шалтай-Болтай,4
65,Музей Достоевского,2
66,Лицей,2
67,Амплитуда,1
68,Музей Ахматовой,8
69,Navicula Artis,2
70,Музей Ахматовой,1
71,Клим Ворошилов,0
72,Шалтай-Болтай,4
73,Navicula Artis,6
74,Дом журналиста,15
75,Лицей,1
76,Редакция журнала Звезда,6
77,Музей Ахматовой,21
78,Шалтай-Болтай,1
79,Лицей,7
80,Амплитуда,1
81,Центр современного искусства при СПбГУ,3
82,Лицей,2
83,Музей Ахматовой,8
84,Navicula Artis,0
85,Шалтай-Болтай,2
86,Лицей,9
87,ЦСЛК,1
88,Музей Ахматовой,5
89,Амплитуда,0
90,Navicula Artis,2
91,Лицей,2
92,Филологический факультет СПбГУ,2
93,Музей Ахматовой,2
94,Лицей,3
95,Редакция журнала Звезда,1
96,Лицей,6
97,Музей Ахматовой,7
98,Борей-Арт,5
99,Лицей,1
100,Амплитуда,10
101,Лицей,7
102,Музей Ахматовой,4
103,Клим Ворошилов,1
104,Шалтай-Болтай,0
105,Лицей,7
106,Союз писателей России,8
107,Клим Ворошилов,1
108,Лицей,3
109,Лицей,2
110,Амплитуда,1
111,Галерея-103,0
112,Клим Ворошилов,1
113,Шалтай-Болтай,5
114,street,1
115,Лицей,2
116,Борей-Арт,8
117,Амплитуда,6
118,Музей Ахматовой,6
119,Клим Ворошилов,1
120,Сайгон,1
121,Музей Ахматовой,7
122,Лицей,2
123,Музей Ахматовой,4
124,Амплитуда,3
125,Амплитуда,0
126,Клим Ворошилов,1
127,Шалтай-Болтай,8
128,Лицей,2
129,Лицей,2
130,Navicula Artis,1
131,Шалтай-Болтай,1
132,Лицей,2
133,Дом журналиста,8
134,Музей Достоевского,2
135,Музей Ахматовой,2
136,Лицей,1
137,Музей Ахматовой,2
138,Амплитуда,1
139,Navicula Artis,1
140,Музей Достоевского,2
141,Музей Ахматовой,4
142,Музей Достоевского,2
143,Лицей,1
144,Музей Набокова,0
145,Музей Ахматовой,1
146,Музей Ахматовой,1
147,Редакция журнала Звезда,16
148,Амплитуда,5
149,Европейский университет,1
150,Европейский университет,1
151,Музей Ахматовой,3
152,Музей Ахматовой,1
153,Амплитуда,0
154,Театр Особняк,1
155,Музей Ахматовой,2
156,Манеж,1
157,Амплитуда,0
158,Музей Ахматовой,2
159,Музей Ахматовой,1
160,Амплитуда,6
161,Амплитуда,1
162,Интерьерный театр,1
163,Музей Ахматовой,6
164,Музей Ахматовой,1
165,Музей Ахматовой,2
